subnet_idx,bits,weight,path
0,00000000,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
1,10000000,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
2,01000000,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
3,11000000,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
4,00100000,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
5,10100000,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
6,01100000,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
7,11100000,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Skip | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
8,00010000,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
9,10010000,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
10,01010000,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
11,11010000,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Skip | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
12,00110000,0.00390625,L1.B0:Skip | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
13,10110000,0.00390625,L1.B0:Full | L1.B1:Skip | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
14,01110000,0.00390625,L1.B0:Skip | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
15,11110000,0.00390625,L1.B0:Full | L1.B1:Full | L2.B0:Full | L2.B1:Full | L3.B0:Skip | L3.B1:Skip | L4.B0:Skip | L4.B1:Skip
