subnet_idx,bits,weight
0,00000000,0.00390625
1,10000000,0.00390625
2,01000000,0.00390625
3,11000000,0.00390625
4,00100000,0.00390625
5,10100000,0.00390625
6,01100000,0.00390625
7,11100000,0.00390625
8,00010000,0.00390625
9,10010000,0.00390625
10,01010000,0.00390625
11,11010000,0.00390625
12,00110000,0.00390625
13,10110000,0.00390625
14,01110000,0.00390625
15,11110000,0.00390625
16,00001000,0.00390625
17,10001000,0.00390625
18,01001000,0.00390625
19,11001000,0.00390625
20,00101000,0.00390625
21,10101000,0.00390625
22,01101000,0.00390625
23,11101000,0.00390625
24,00011000,0.00390625
25,10011000,0.00390625
26,01011000,0.00390625
27,11011000,0.00390625
28,00111000,0.00390625
29,10111000,0.00390625
30,01111000,0.00390625
31,11111000,0.00390625
32,00000100,0.00390625
33,10000100,0.00390625
34,01000100,0.00390625
35,11000100,0.00390625
36,00100100,0.00390625
37,10100100,0.00390625
38,01100100,0.00390625
39,11100100,0.00390625
40,00010100,0.00390625
41,10010100,0.00390625
42,01010100,0.00390625
43,11010100,0.00390625
44,00110100,0.00390625
45,10110100,0.00390625
46,01110100,0.00390625
47,11110100,0.00390625
48,00001100,0.00390625
49,10001100,0.00390625
50,01001100,0.00390625
51,11001100,0.00390625
52,00101100,0.00390625
53,10101100,0.00390625
54,01101100,0.00390625
55,11101100,0.00390625
56,00011100,0.00390625
57,10011100,0.00390625
58,01011100,0.00390625
59,11011100,0.00390625
60,00111100,0.00390625
61,10111100,0.00390625
62,01111100,0.00390625
63,11111100,0.00390625
64,00000010,0.00390625
65,10000010,0.00390625
66,01000010,0.00390625
67,11000010,0.00390625
68,00100010,0.00390625
69,10100010,0.00390625
70,01100010,0.00390625
71,11100010,0.00390625
72,00010010,0.00390625
73,10010010,0.00390625
74,01010010,0.00390625
75,11010010,0.00390625
76,00110010,0.00390625
77,10110010,0.00390625
78,01110010,0.00390625
79,11110010,0.00390625
80,00001010,0.00390625
81,10001010,0.00390625
82,01001010,0.00390625
83,11001010,0.00390625
84,00101010,0.00390625
85,10101010,0.00390625
86,01101010,0.00390625
87,11101010,0.00390625
88,00011010,0.00390625
89,10011010,0.00390625
90,01011010,0.00390625
91,11011010,0.00390625
92,00111010,0.00390625
93,10111010,0.00390625
94,01111010,0.00390625
95,11111010,0.00390625
96,00000110,0.00390625
97,10000110,0.00390625
98,01000110,0.00390625
99,11000110,0.00390625
100,00100110,0.00390625
101,10100110,0.00390625
102,01100110,0.00390625
103,11100110,0.00390625
104,00010110,0.00390625
105,10010110,0.00390625
106,01010110,0.00390625
107,11010110,0.00390625
108,00110110,0.00390625
109,10110110,0.00390625
