setting,family,num_paths,coefficient_sum,accuracy_percent,test_loss,relative_cost_proxy,active_state_ratio,prefix_counts,parent_counts,path_indices,path_bits,path_coefficients
Full NetAttn,full,256,1.0,81.6,0.9307850654602051,32.12491842566135,63.75,"[2, 4, 8, 16, 32, 64, 128, 256]","[1, 2, 4, 8, 16, 32, 64, 128]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255]","[""00000000"", ""10000000"", ""01000000"", ""11000000"", ""00100000"", ""10100000"", ""01100000"", ""11100000"", ""00010000"", ""10010000"", ""01010000"", ""11010000"", ""00110000"", ""10110000"", ""01110000"", ""11110000"", ""00001000"", ""10001000"", ""01001000"", ""11001000"", ""00101000"", ""10101000"", ""01101000"", ""11101000"", ""00011000"", ""10011000"", ""01011000"", ""11011000"", ""00111000"", ""10111000"", ""01111000"", ""11111000"", ""00000100"", ""10000100"", ""01000100"", ""11000100"", ""00100100"", ""10100100"", ""01100100"", ""11100100"", ""00010100"", ""10010100"", ""01010100"", ""11010100"", ""00110100"", ""10110100"", ""01110100"", ""11110100"", ""00001100"", ""10001100"", ""01001100"", ""11001100"", ""00101100"", ""10101100"", ""01101100"", ""11101100"", ""00011100"", ""10011100"", ""01011100"", ""11011100"", ""00111100"", ""10111100"", ""01111100"", ""11111100"", ""00000010"", ""10000010"", ""01000010"", ""11000010"", ""00100010"", ""10100010"", ""01100010"", ""11100010"", ""00010010"", ""10010010"", ""01010010"", ""11010010"", ""00110010"", ""10110010"", ""01110010"", ""11110010"", ""00001010"", ""10001010"", ""01001010"", ""11001010"", ""00101010"", ""10101010"", ""01101010"", ""11101010"", ""00011010"", ""10011010"", ""01011010"", ""11011010"", ""00111010"", ""10111010"", ""01111010"", ""11111010"", ""00000110"", ""10000110"", ""01000110"", ""11000110"", ""00100110"", ""10100110"", ""01100110"", ""11100110"", ""00010110"", ""10010110"", ""01010110"", ""11010110"", ""00110110"", ""10110110"", ""01110110"", ""11110110"", ""00001110"", ""10001110"", ""01001110"", ""11001110"", ""00101110"", ""10101110"", ""01101110"", ""11101110"", ""00011110"", ""10011110"", ""01011110"", ""11011110"", ""00111110"", ""10111110"", ""01111110"", ""11111110"", ""00000001"", ""10000001"", ""01000001"", ""11000001"", ""00100001"", ""10100001"", ""01100001"", ""11100001"", ""00010001"", ""10010001"", ""01010001"", ""11010001"", ""00110001"", ""10110001"", ""01110001"", ""11110001"", ""00001001"", ""10001001"", ""01001001"", ""11001001"", ""00101001"", ""10101001"", ""01101001"", ""11101001"", ""00011001"", ""10011001"", ""01011001"", ""11011001"", ""00111001"", ""10111001"", ""01111001"", ""11111001"", ""00000101"", ""10000101"", ""01000101"", ""11000101"", ""00100101"", ""10100101"", ""01100101"", ""11100101"", ""00010101"", ""10010101"", ""01010101"", ""11010101"", ""00110101"", ""10110101"", ""01110101"", ""11110101"", ""00001101"", ""10001101"", ""01001101"", ""11001101"", ""00101101"", ""10101101"", ""01101101"", ""11101101"", ""00011101"", ""10011101"", ""01011101"", ""11011101"", ""00111101"", ""10111101"", ""01111101"", ""11111101"", ""00000011"", ""10000011"", ""01000011"", ""11000011"", ""00100011"", ""10100011"", ""01100011"", ""11100011"", ""00010011"", ""10010011"", ""01010011"", ""11010011"", ""00110011"", ""10110011"", ""01110011"", ""11110011"", ""00001011"", ""10001011"", ""01001011"", ""11001011"", ""00101011"", ""10101011"", ""01101011"", ""11101011"", ""00011011"", ""10011011"", ""01011011"", ""11011011"", ""00111011"", ""10111011"", ""01111011"", ""11111011"", ""00000111"", ""10000111"", ""01000111"", ""11000111"", ""00100111"", ""10100111"", ""01100111"", ""11100111"", ""00010111"", ""10010111"", ""01010111"", ""11010111"", ""00110111"", ""10110111"", ""01110111"", ""11110111"", ""00001111"", ""10001111"", ""01001111"", ""11001111"", ""00101111"", ""10101111"", ""01101111"", ""11101111"", ""00011111"", ""10011111"", ""01011111"", ""11011111"", ""00111111"", ""10111111"", ""01111111"", ""11111111""]","[0.0017289347015321255, 0.001548278727568686, 0.0015248608542606235, 0.0014822438824921846, 0.001473839278332889, 0.0012167057720944285, 0.0011861789971590042, 0.001272446010261774, 0.0015256309416145086, 0.0012255482142791152, 0.001227297354489565, 0.0012308423174545169, 0.0013027492677792907, 0.0011031822068616748, 0.0010858168825507164, 0.0012474992545321584, 0.001557833282276988, 0.001209132606163621, 0.0011870695743709803, 0.0013344979379326105, 0.0013575300108641386, 0.001312909065745771, 0.0011928777676075697, 0.0022650586906820536, 0.0014629611978307366, 0.0010259166592732072, 0.0010917786275967956, 0.0014444006374105811, 0.0012300702510401607, 0.0013890605187043548, 0.0013396444264799356, 0.00476880231872201, 0.0017945768777281046, 0.001441173255443573, 0.00146212219260633, 0.0015995576977729797, 0.0013658762909471989, 0.001244050799869001, 0.001183117856271565, 0.0018402448622509837, 0.0015485016629099846, 0.001269484986551106, 0.0012430931674316525, 0.0015198063338175416, 0.0013289706548675895, 0.0013466393575072289, 0.0012650627177208662, 0.0030296638142317533, 0.0012778380187228322, 0.0009869461646303535, 0.0010147533612325788, 0.0013312413357198238, 0.0011780570494011045, 0.0015353723429143429, 0.0013330092187970877, 0.004630795679986477, 0.0013790527591481805, 0.0009216456091962755, 0.0010693565709516406, 0.001974061131477356, 0.001152514130808413, 0.002428988693282008, 0.002377471188083291, 0.0806596502661705, 0.0018790671601891518, 0.0016718029510229826, 0.0016317026456817985, 0.0012451143702492118, 0.0017574280500411987, 0.0011750112753361464, 0.001178800594061613, 0.0008996310061775148, 0.0016726450994610786, 0.0012064852053299546, 0.001330827479250729, 0.0010476781753823161, 0.0013801921159029007, 0.0008443884435109794, 0.0008576875552535057, 0.000782324408646673, 0.0014094396028667688, 0.0008617743733339012, 0.0009148475364781916, 0.0007583564147353172, 0.0012500733137130737, 0.0013526270631700754, 0.0012149466201663017, 0.0023527955636382103, 0.000984765007160604, 0.0006094776908867061, 0.0010215097572654486, 0.0013396099675446749, 0.0007186242146417499, 0.0009845583699643612, 0.0009741947869770229, 0.005690653808414936, 0.0011676698923110962, 0.0005321977660059929, 0.0005545360036194324, 0.00032437549089081585, 0.0007502313819713891, 0.00034157655318267643, 0.0003633607120718807, 0.0004525943659245968, 0.0006730988970957696, 0.0002713519788812846, 0.00036557327257469296, 0.000372852198779583, 0.0004405565559864044, 0.0003303547273389995, 0.0003514400159474462, 0.000608286471106112, 0.0007674435037188232, 0.00034162099473178387, 0.00040588469710201025, 0.00031195630435831845, 0.000783839263021946, 0.0030944976024329662, 0.002941992599517107, 0.008919590152800083, 0.0005396252381615341, 0.00028497521998360753, 0.0013558014761656523, 0.0025918367318809032, 0.000459635368315503, 0.0038847459945827723, 0.0067648738622665405, 0.028615746647119522, 0.001825730549171567, 0.0014450999442487955, 0.0014324065996333957, 0.0012248300481587648, 0.0012392359785735607, 0.0005623758770525455, 0.0005368331912904978, 0.00047755357809364796, 0.0012590136611834168, 0.0006916028796695173, 0.0006807312020100653, 0.0005508932517841458, 0.0007906050886958838, 0.00033860758412629366, 0.0003377248940523714, 0.00035917575587518513, 0.001366932294331491, 0.0005969376070424914, 0.0005235836724750698, 0.0006839917623437941, 0.0008526479359716177, 0.0006921482272446156, 0.0006176346214488149, 0.0013027802342548966, 0.0010416194563731551, 0.0005184044712223113, 0.0004951267619617283, 0.0007791751995682716, 0.0007323063910007477, 0.000878560240380466, 0.0008274975116364658, 0.0017033073818311095, 0.001527912449091673, 0.0009232264128513634, 0.0009569068788550794, 0.0009295140625908971, 0.0007605716236867011, 0.00042025555740110576, 0.00042142244637943804, 0.0008753177826292813, 0.0010077181505039334, 0.0005866201827302575, 0.0005282435449771583, 0.0007390116807073355, 0.0006574316066689789, 0.00048241132753901184, 0.0004461492644622922, 0.0012828545877709985, 0.0005726187373511493, 0.00021656794706359506, 0.0002516830281820148, 0.000486673234263435, 0.00044457564945332706, 0.0006482707685790956, 0.000573908444494009, 0.0014513154746964574, 0.0006894388934597373, 0.0003625535173341632, 0.00043475028360262513, 0.0008807010599412024, 0.0004973242757841945, 0.0010292992228642106, 0.0009989920072257519, 0.0019415552960708737, 0.0018845821032300591, 0.0013330078218132257, 0.0012819317635148764, 0.0006449180073104799, 0.001616039895452559, 0.00029244073084555566, 0.0003360405971761793, 0.00011359513155184686, 0.0013599266530945897, 0.0004971151356585324, 0.0006089150556363165, 0.00023612045333720744, 0.0006922601023688912, 6.758457311661914e-05, 8.40123975649476e-05, 5.119389243191108e-05, 0.0010247711325064301, 0.00017576325626578182, 0.0001754226250341162, 8.146318577928469e-05, 0.0004992393078282475, 0.0008160684374161065, 0.0006492755492217839, 0.0021996235009282827, 0.0002925625303760171, 6.0349455452524126e-05, 0.00029281622846610844, 0.0003565400547813624, 0.00011428273137426004, 0.0006090648821555078, 0.0008644553599879146, 0.006814947817474604, 0.0006674447213299572, 5.842774407938123e-05, 5.823221363243647e-05, 1.538806827738881e-05, 0.00010876014857785776, 1.0872011444007512e-05, 1.375625652144663e-05, 1.818740929593332e-05, 0.00010790801024995744, 1.0912159268627875e-05, 1.9029364921152592e-05, 1.4905811440257821e-05, 3.464376641204581e-05, 1.7448377548134886e-05, 2.2777599951950833e-05, 5.333742592483759e-05, 0.00018079810251947492, 1.675168823567219e-05, 2.849319025699515e-05, 2.2867885490995832e-05, 0.0001697599800536409, 0.06801769137382507, 0.04107716307044029, 0.14029689133167267, 7.472170545952395e-05, 7.361863390542567e-05, 0.0030005481094121933, 0.017872363328933716, 8.764158701524138e-05, 0.12820516526699066, 0.11997701227664948, 0.11290185153484344]"
NetAttn Top-7,top7_learned,7,0.6911354064941406,81.5,1.0899489074707032,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[63, 245, 246, 247, 253, 254, 255]","[""11111100"", ""10101111"", ""01101111"", ""11101111"", ""10111111"", ""01111111"", ""11111111""]","[0.0806596502661705, 0.06801769137382507, 0.04107716307044029, 0.14029689133167267, 0.12820516526699066, 0.11997701227664948, 0.11290185153484344]"
Top-7 equal mass-matched,top7_equal,7,0.6911354064941406,81.22,1.1308994079589845,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[63, 245, 246, 247, 253, 254, 255]","[""11111100"", ""10101111"", ""01101111"", ""11101111"", ""10111111"", ""01111111"", ""11111111""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #00,random7_equal,7,0.6911354064941406,4.39,4.4845521484375,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[32, 33, 35, 40, 41, 43, 225]","[""00000100"", ""10000100"", ""11000100"", ""00010100"", ""10010100"", ""11010100"", ""10000111""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #01,random7_equal,7,0.6911354064941406,35.42,3.9496494140625,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[48, 50, 51, 56, 58, 59, 242]","[""00001100"", ""01001100"", ""11001100"", ""00011100"", ""01011100"", ""11011100"", ""01001111""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #02,random7_equal,7,0.6911354064941406,10.01,4.3856861328125,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[4, 6, 7, 12, 14, 15, 198]","[""00100000"", ""01100000"", ""11100000"", ""00110000"", ""01110000"", ""11110000"", ""01100011""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #03,random7_equal,7,0.6911354064941406,80.38,1.5315305419921874,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[54, 244, 246, 247, 252, 254, 255]","[""01101100"", ""00101111"", ""01101111"", ""11101111"", ""00111111"", ""01111111"", ""11111111""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #04,random7_equal,7,0.6911354064941406,4.8,4.5546515625,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[64, 66, 67, 72, 74, 75, 130]","[""00000010"", ""01000010"", ""11000010"", ""00010010"", ""01010010"", ""11010010"", ""01000001""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #05,random7_equal,7,0.6911354064941406,10.54,4.473807421875,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[70, 132, 134, 135, 140, 142, 143]","[""01100010"", ""00100001"", ""01100001"", ""11100001"", ""00110001"", ""01110001"", ""11110001""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #06,random7_equal,7,0.6911354064941406,62.3,2.2063359008789063,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[59, 241, 242, 243, 249, 250, 251]","[""11011100"", ""10001111"", ""01001111"", ""11001111"", ""10011111"", ""01011111"", ""11011111""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #07,random7_equal,7,0.6911354064941406,5.35,4.545421875,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[74, 128, 130, 131, 136, 138, 139]","[""01010010"", ""00000001"", ""01000001"", ""11000001"", ""00010001"", ""01010001"", ""11010001""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
Random-7 equal mass-matched #08,random7_equal,7,0.6911354064941406,34.0,4.3119595703125,4.171389068116877,5.0,"[2, 3, 3, 6, 6, 6, 7, 7]","[1, 2, 3, 3, 6, 6, 6, 7]","[80, 82, 83, 88, 90, 91, 146]","[""00001010"", ""01001010"", ""11001010"", ""00011010"", ""01011010"", ""11011010"", ""01001001""]","[0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757, 0.09873363375663757]"
