path_idx,bits,weight
0,00111111,0.00018975302
1,01011111,0.00023151407
2,01101111,0.012784697
3,01110111,0.00016516667
4,01111011,0.00084124005
5,01111101,0.003157933
6,01111110,0.0056558666
7,01111111,0.13379507
8,10011111,0.00015986609
9,10101111,0.0005907387
10,10110111,0.00019053475
11,10111011,0.00051330443
12,10111101,0.0035324735
13,10111110,0.00461933
14,10111111,0.002301581
15,11001111,0.00011378185
16,11010111,0.00060898246
17,11011011,0.0011851084
18,11011101,0.004255045
19,11011110,0.005612735
20,11011111,0.0015426376
21,11100111,0.00021221091
22,11101011,0.0051551545
23,11101101,0.004622269
24,11101110,0.008808083
25,11101111,0.26409984
26,11110011,0.00015349516
27,11110101,0.0035829416
28,11110110,0.004540897
29,11110111,0.00023243614
30,11111001,0.0049454123
31,11111010,0.008251086
32,11111011,0.007900471
33,11111100,0.06356359
34,11111101,0.004966141
35,11111110,0.010211427
36,11111111,0.4267072
